S No,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome ,CoapplicantIncome ,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
255,Female,No,0,Not Graduate,No,441000,500000,700000,4,1,Urban,Y
256,Female,No,2,Graduate,No,690000,500000,400000,3,1,Semi-Rural,Y
257,Female,Yes,2,Graduate,No,283000,400000,1000000,6,1,Urban,N
258,Female,No,0,Not Graduate,No,977000,200000,900000,7,1,Urban,Y
259,Male,No,1,Graduate,Yes,527000,200000,700000,7,1,Rural,Y
260,Male,Yes,1,Graduate,No,536000,200000,600000,10,1,Rural,Y
261,Female,No,3,Not Graduate,No,877000,400000,500000,10,0,Rural,Y
262,Male,Yes,3,Graduate,No,429000,200000,800000,9,1,Rural,Y
263,Male,No,2,Not Graduate,No,994000,200000,400000,10,1,Rural,Y
264,Male,No,3,Not Graduate,No,694000,300000,900000,8,0,Rural,Y
265,Male,No,2,Not Graduate,No,263000,200000,200000,4,1,Urban,Y
266,Male,Yes,2,Not Graduate,No,749000,100000,100000,4,1,Urban,Y
267,Male,Yes,0,Graduate,Yes,374000,200000,1000000,3,0,Urban,N
268,Female,Yes,3,Not Graduate,No,850000,100000,900000,4,1,Semi-Rural,Y
269,Female,No,1,Not Graduate,No,654000,100000,300000,7,1,Semi-Rural,Y
270,Female,Yes,0,Not Graduate,No,446000,200000,800000,7,1,Urban,Y
271,Male,Yes,3,Not Graduate,No,601000,300000,300000,8,1,Urban,Y
272,Male,No,0,Graduate,No,508000,300000,200000,10,1,Urban,Y
273,Female,Yes,3,Not Graduate,No,782000,0,600000,4,1,Rural,Y
274,Female,Yes,2,Graduate,No,843000,500000,100000,6,0,Rural,Y
275,Female,Yes,1,Graduate,No,417000,100000,500000,6,1,Urban,Y
276,Male,No,2,Graduate,Yes,952000,400000,100000,10,1,#VALUE!,Y
277,Female,No,1,Graduate,No,793000,200000,1000000,8,1,Urban,Y
278,Male,Yes,3,Graduate,No,917000,300000,800000,8,1,Rural,Y
279,Male,No,1,Not Graduate,No,378000,500000,300000,6,1,Urban,Y
280,Female,Yes,2,Graduate,No,888000,0,400000,9,0,Urban,Y
281,Male,Yes,2,Not Graduate,No,823000,100000,500000,7,1,Semi-Rural,Y
282,Female,Yes,1,Not Graduate,No,282000,100000,800000,9,1,Urban,Y
283,Female,No,3,Not Graduate,No,724000,300000,900000,3,1,Rural,N
284,Male,Yes,1,Not Graduate,No,966000,0,400000,9,0,Urban,Y
285,Male,Yes,3,Graduate,No,299000,400000,300000,4,1,Rural,Y
286,Female,Yes,0,Not Graduate,No,751000,0,100000,10,1,Semi-Rural,Y
287,Female,No,2,Not Graduate,No,273000,500000,600000,7,1,Semi-Rural,Y
288,Female,Yes,1,Graduate,No,533000,100000,900000,9,0,Urban,Y
289,Male,No,1,Graduate,No,463000,200000,100000,4,1,Rural,Y
290,Female,No,1,Graduate,No,925000,100000,500000,7,1,Semi-Rural,Y
291,Male,No,3,Not Graduate,No,652000,200000,1000000,5,1,Urban,Y
292,Female,No,2,Graduate,No,819000,200000,500000,9,0,Urban,Y
293,Female,Yes,0,Not Graduate,No,962000,0,700000,3,1,Urban,Y
294,Female,No,3,Graduate,No,922000,500000,800000,3,1,#VALUE!,Y
295,Female,No,3,Graduate,No,287000,300000,400000,10,1,Rural,Y
296,Female,No,3,Graduate,No,382000,0,100000,4,1,Semi-Rural,Y
297,Female,Yes,1,Not Graduate,Yes,349000,500000,300000,4,1,#VALUE!,Y
298,Male,No,3,Not Graduate,No,338000,200000,700000,10,1,Urban,Y
299,Male,Yes,0,Not Graduate,No,650000,400000,600000,2,1,Rural,N
300,Female,No,3,Not Graduate,No,855000,500000,200000,4,1,Rural,Y
301,Female,No,3,Not Graduate,No,864000,100000,200000,8,1,Rural,Y
302,Male,Yes,3,Not Graduate,No,270000,400000,800000,8,1,Rural,Y
303,Male,No,1,Not Graduate,No,376000,300000,200000,9,1,Urban,Y
304,Male,No,1,Not Graduate,No,912000,200000,500000,4,1,Rural,Y
305,Female,Yes,2,Graduate,No,497000,100000,100000,5,1,Semi-Rural,Y
306,Male,Yes,3,Graduate,No,451000,100000,500000,5,1,Urban,Y
307,Male,Yes,2,Graduate,Yes,459000,400000,300000,10,1,Semi-Rural,Y
308,Male,Yes,1,Not Graduate,No,670000,300000,600000,6,1,Rural,Y
309,Male,No,3,Graduate,No,648000,300000,500000,7,1,Urban,Y
310,Female,No,0,Graduate,No,459000,200000,600000,3,1,Urban,N
311,Male,Yes,0,Graduate,No,523000,300000,1000000,5,1,Semi-Rural,Y
312,Male,No,2,Not Graduate,No,695000,200000,200000,2,1,Semi-Rural,Y
313,Male,Yes,2,Graduate,No,956000,100000,100000,7,1,Semi-Rural,Y
314,Male,Yes,2,Graduate,No,597000,400000,700000,5,1,Rural,Y
315,Male,No,1,Graduate,No,699000,200000,200000,6,1,Urban,Y
316,Female,No,1,Not Graduate,No,958000,200000,1000000,9,1,Rural,Y
317,Male,Yes,0,Not Graduate,No,794000,200000,400000,5,0,Rural,Y
318,Female,No,3,Graduate,No,558000,300000,100000,6,1,Urban,Y
319,Male,Yes,2,Not Graduate,No,262000,300000,800000,8,1,Semi-Rural,Y
320,Female,Yes,3,Not Graduate,No,398000,400000,100000,9,1,Rural,Y
321,Male,Yes,3,Not Graduate,No,339000,200000,300000,2,1,Urban,N
322,Female,No,3,Graduate,No,585000,400000,300000,3,1,Urban,Y
323,Female,No,3,Graduate,No,460000,300000,1000000,5,0,Rural,N
324,Male,No,0,Not Graduate,No,570000,200000,900000,3,1,Semi-Rural,N
325,Male,Yes,0,Graduate,No,942000,200000,200000,9,1,Semi-Rural,Y
326,Female,Yes,0,Not Graduate,Yes,358000,200000,100000,7,1,Semi-Rural,Y
327,Male,No,2,Graduate,No,732000,400000,100000,5,1,Urban,Y
328,Female,Yes,0,Not Graduate,No,378000,100000,200000,7,1,Rural,Y
329,Female,Yes,2,Graduate,No,292000,300000,500000,9,1,Semi-Rural,Y
330,Male,No,2,Not Graduate,No,536000,200000,300000,2,1,Rural,Y
331,Male,Yes,2,Not Graduate,No,850000,300000,400000,7,1,Rural,Y
332,Female,No,2,Graduate,No,880000,200000,300000,3,1,Rural,Y
333,Male,No,1,Graduate,No,511000,500000,100000,3,1,Urban,Y
334,Male,No,2,Not Graduate,No,606000,400000,900000,4,1,Urban,Y
335,Male,No,2,Not Graduate,No,475000,300000,600000,9,1,Urban,Y
336,Male,No,1,Not Graduate,No,469000,300000,800000,7,1,Urban,Y
337,Female,No,1,Not Graduate,No,993000,300000,200000,7,1,Urban,Y
338,Male,No,1,Graduate,No,745000,500000,600000,7,1,Rural,Y
339,Male,Yes,3,Graduate,No,619000,300000,900000,9,1,Rural,Y
340,Female,No,2,Graduate,Yes,813000,100000,300000,4,1,Semi-Rural,Y
341,Female,Yes,0,Not Graduate,No,544000,400000,400000,3,1,Semi-Rural,Y
342,Female,Yes,2,Graduate,No,254000,200000,200000,7,1,Rural,Y
343,Male,Yes,3,Graduate,No,354000,200000,900000,9,1,Semi-Rural,Y
344,Male,Yes,0,Graduate,Yes,618000,400000,700000,10,1,Rural,Y
345,Male,Yes,3,Graduate,No,664000,200000,100000,10,1,Semi-Rural,Y
346,Female,Yes,1,Graduate,Yes,393000,400000,700000,2,1,Semi-Rural,N
347,Male,No,1,Not Graduate,No,288000,400000,100000,3,1,Rural,Y
348,Male,Yes,1,Not Graduate,No,978000,400000,800000,7,1,Rural,Y
349,Male,No,1,Not Graduate,No,641000,300000,400000,5,1,Urban,Y
350,Male,No,0,Graduate,No,898000,100000,500000,8,1,Urban,Y
351,Male,No,1,Graduate,No,990000,0,300000,9,1,Semi-Rural,Y
